mark,name_model,type_of_car,type_of_drive,type_fuel,engine,power,mileage,is_broken,price
acura,mdx,внедорожник,полный,бензин,3.5 AT (265 л.с.),265,300088,True,300000
acura,mdx,внедорожник,полный,бензин,3.5 AT (240 л.с.),240,262000,False,230000
alfa_romeo,146,хетчбэк,передний,бензин,1.6 MT (120 л.с.),120,139690,False,140000
alfa_romeo,156,седан,передний,бензин,2.5 MT (190 л.с.),190,240000,False,150000
audi,100,седан,передний,бензин,1.8 MT (75 л.с.),75,176680,False,120000
audi,100,седан,передний,бензин,1.8 MT (90 л.с.),90,300000,False,180000
audi,100,седан,передний,бензин,1.8 MT (90 л.с.),90,300000,False,55000
audi,100,седан,полный,бензин,2.8 AT (174 л.с.),174,300000,False,220000
audi,100,седан,передний,бензин,2.3 MT (133 л.с.),133,316000,False,135000
audi,100,седан,передний,бензин,2.3 MT (133 л.с.),133,417705,False,123000
audi,100,седан,передний,бензин,2.8 AT (174 л.с.),174,300000,True,240000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,250000,False,170000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,228000,False,290000
audi,80,седан,передний,бензин,1.9 MT (113 л.с.),113,258000,False,230000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,286000,False,65000
audi,80,седан,передний,бензин,1.8 MT (75 л.с.),75,440000,False,46000
audi,80,седан,передний,бензин,1.8 MT (88 л.с.),88,300000,False,85000
audi,80,седан,передний,бензин,1.8 MT (75 л.с.),75,200000,False,100000
audi,80,седан,передний,бензин,1.6 MT (75 л.с.),75,250000,False,50000
audi,80,седан,передний,бензин,2.0 MT (137 л.с.),137,519000,False,170000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,100000,False,105000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,365852,False,130000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,100000,False,85000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,190282,True,15000
audi,80,седан,передний,бензин,1.6 MT (110 л.с.),110,250000,False,100000
audi,80,седан,передний,бензин,1.8 MT (90 л.с.),90,241609,False,80000
audi,a3,хетчбэк,передний,бензин,2.0 AT (150 л.с.),150,157000,False,600000
audi,a3,хетчбэк,передний,бензин,2.0 AT (150 л.с.),150,325000,False,540000
audi,a4,седан,полный,бензин,2.0 MT (200 л.с.),200,246000,False,795000
audi,a4,седан,передний,бензин,1.6 MT (101 л.с.),101,322569,False,250000
audi,a4,седан,полный,бензин,2.0 AT (200 л.с.),200,174000,False,450000
audi,a4,седан,передний,бензин,1.8 MT (125 л.с.),125,200000,False,250000
audi,a4,седан,передний,бензин,2.0 CVT (150 л.с.),150,280000,False,430000
audi,a4,седан,передний,бензин,1.6 MT (101 л.с.),101,483000,False,249999
audi,a4,седан,передний,бензин,1.4 AMT (150 л.с.),150,105000,False,2300000
audi,a4,седан,передний,бензин,1.6 MT (101 л.с.),101,200000,False,299000
audi,a4,седан,полный,бензин,2.0 AMT (249 л.с.),249,30000,False,3950000
audi,a4,седан,передний,дизель,2.0 CVT (140 л.с.),140,197701,False,659000
audi,a4,седан,передний,дизель,1.9 MT (110 л.с.),110,350000,False,100000
audi,a4,седан,передний,бензин,1.8 AT (125 л.с.),125,369000,False,325000
audi,a4,седан,передний,дизель,2.0 AMT (122 л.с.),122,136000,False,2349000
audi,a5,купе,передний,бензин,2.0 CVT (211 л.с.),211,138600,True,370000
audi,a5,лифтбек,полный,бензин,2.0 AMT (249 л.с.),249,20000,False,4700000
audi,a5,купе,полный,бензин,2.0 AMT (230 л.с.),230,147890,False,2299000
audi,a6,седан,передний,бензин,2.4 MT (165 л.с.),165,300000,False,319000
audi,a6,универсал,передний,дизель,2.0 CVT (140 л.с.),140,346000,False,850000
audi,a6,седан,полный,бензин,3.0 AT (218 л.с.),218,255000,False,480000
audi,a6,седан,полный,бензин,2.7 AT (250 л.с.),250,190000,False,400000
audi,a6,седан,полный,бензин,2.0 AMT (245 л.с.),245,123000,False,3950000
audi,a6,седан,передний,бензин,1.8 MT (125 л.с.),125,305000,False,367000
audi,a6,седан,передний,бензин,2.4 AT (136 л.с.),136,448000,False,450000
audi,a6,седан,передний,бензин,2.4 CVT (177 л.с.),177,113080,False,1200000
audi,a6,седан,передний,бензин,2.4 MT (165 л.с.),165,584300,False,270000
audi,a6,седан,передний,дизель,2.0 CVT (140 л.с.),140,250000,False,600000
audi,a6,универсал,передний,дизель,2.0 CVT (140 л.с.),140,229511,False,650000
audi,a6,седан,передний,бензин,2.0 AMT (252 л.с.),252,65000,False,3131313
audi,a6,седан,передний,бензин,2.6 MT (150 л.с.),150,220000,True,23456
audi,a6_allroad_quattro,универсал,полный,бензин,3.0 AMT (310 л.с.),310,152000,False,2000000
audi,a6_allroad_quattro,универсал,полный,бензин,2.7 AT (250 л.с.),250,303000,False,550000
audi,a8,седан,полный,бензин,4.2 AT (335 л.с.),335,380000,False,700000
audi,a8,седан,полный,дизель,3.3 AT (225 л.с.),225,325000,False,650000
audi,a8,седан,полный,бензин,4.2 AT (335 л.с.),335,99999,True,290000
audi,q3,внедорожник,полный,бензин,2.0 AMT (211 л.с.),211,139075,False,1279000
audi,q5,внедорожник,полный,бензин,3.2 AT (270 л.с.),270,191485,False,1300000
audi,q5,внедорожник,полный,бензин,2.0 AT (211 л.с.),211,137000,False,1700000
audi,q5,внедорожник,полный,бензин,2.0 AT (211 л.с.),211,193245,False,1599000
audi,q5,внедорожник,полный,дизель,2.0 AMT (177 л.с.),177,112492,False,2449000
audi,q5,внедорожник,полный,бензин,2.0 AMT (249 л.с.),249,43087,False,5600000
audi,q5,внедорожник,полный,бензин,2.0 AMT (211 л.с.),211,210000,False,1250000
audi,q5,внедорожник,полный,бензин,3.0 AT (272 л.с.),272,152000,False,2300000
audi,q5,внедорожник,полный,бензин,2.0 AT (225 л.с.),225,141000,False,2150000
audi,q5,внедорожник,полный,бензин,2.0 AMT (249 л.с.),249,0,False,6872510
audi,q5,внедорожник,полный,бензин,2.0 AMT (249 л.с.),249,0,False,6925465
audi,q5,внедорожник,полный,бензин,2.0 AMT (249 л.с.),249,0,False,6429320
audi,q5_sportback,внедорожник,полный,бензин,2.0 AMT (249 л.с.),249,0,False,7934755
audi,q7,внедорожник,полный,дизель,3.0 AT (233 л.с.),233,488888,False,1080000
audi,q7,внедорожник,полный,дизель,3.0 AT (239 л.с.),239,221000,False,1845000
audi,q7,внедорожник,полный,дизель,3.0 AT (231 л.с.),231,55000,False,5950000
audi,q7,внедорожник,полный,дизель,3.0 AT (249 л.с.),249,87000,False,5690000
audi,q7,внедорожник,полный,дизель,3.0 AT (249 л.с.),249,113000,False,4400000
audi,q8,внедорожник,полный,дизель,3.0 AT (249 л.с.),249,4704,False,10350000
audi,q8,внедорожник,полный,дизель,3.0 AT (249 л.с.),249,58000,False,8600000
